run,steps_survived,final_rabbits,final_foxes,max_rabbits,max_foxes,min_rabbits,min_foxes
1,144.0,0.0,19.0,135.0,181.0,0.0,10.0
2,367.0,39.0,0.0,50.0,35.0,15.0,0.0
3,122.0,0.0,45.0,122.0,343.0,0.0,4.0
4,135.0,4.0,0.0,50.0,37.0,2.0,0.0
5,288.0,0.0,10.0,75.0,77.0,0.0,9.0
6,173.0,8.0,0.0,62.0,60.0,1.0,0.0
7,422.0,6.0,0.0,147.0,194.0,1.0,0.0
8,188.0,0.0,12.0,50.0,59.0,0.0,7.0
9,204.0,6.0,0.0,129.0,163.0,1.0,0.0
10,133.0,0.0,12.0,93.0,96.0,0.0,10.0
11,275.0,0.0,124.0,143.0,195.0,0.0,3.0
12,162.0,11.0,0.0,53.0,50.0,7.0,0.0
13,428.0,5.0,0.0,102.0,122.0,3.0,0.0
14,238.0,115.0,0.0,115.0,38.0,17.0,0.0
15,660.0,17.0,0.0,56.0,62.0,6.0,0.0
16,188.0,5.0,0.0,87.0,100.0,2.0,0.0
17,157.0,0.0,7.0,52.0,88.0,0.0,3.0
18,183.0,24.0,0.0,64.0,63.0,6.0,0.0
19,176.0,9.0,0.0,92.0,86.0,6.0,0.0
20,218.0,16.0,0.0,64.0,78.0,4.0,0.0
21,247.0,9.0,0.0,70.0,86.0,2.0,0.0
22,232.0,17.0,0.0,68.0,113.0,2.0,0.0
23,311.0,0.0,53.0,116.0,137.0,0.0,4.0
24,107.0,0.0,52.0,92.0,198.0,0.0,6.0
25,216.0,49.0,0.0,59.0,78.0,4.0,0.0
26,407.0,0.0,3.0,63.0,68.0,0.0,2.0
27,334.0,0.0,16.0,149.0,181.0,0.0,7.0
