run,steps_survived,final_rabbits,final_foxes,max_rabbits,max_foxes,min_rabbits,min_foxes
1,201,1,16,100,24,1,13
2,201,4,1,100,20,4,1
3,201,0,11,100,26,0,11
4,201,1,5,100,26,1,5
5,201,5,6,100,20,5,5
6,201,4,10,100,26,4,8
7,201,0,41,100,60,0,18
8,201,7,4,100,20,7,4
9,201,0,22,100,31,0,18
10,201,2,2,100,22,2,2
11,201,7,2,100,20,7,2
12,201,21,6,100,20,19,6
13,201,3,7,100,27,3,7
14,201,7,4,100,20,7,4
15,201,10,3,100,20,10,3
16,201,5,23,100,28,5,9
17,201,4,5,100,20,4,5
18,201,9,1,100,20,7,1
19,201,1,5,100,23,1,5
20,201,0,25,100,32,0,17
21,201,8,2,100,20,8,2
22,201,3,24,100,24,3,12
23,201,2,5,100,21,2,5
24,201,15,4,100,20,15,4
25,201,0,26,100,40,0,20
